epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,8166.51,0.90253,1.27588,0.80358,0.91622,0,0.68304,0.63459,0.70893,0.5309,0.65293,0.58976,0.63918,0.35602,0.87233,1.25883,0.79405,0.91514,0,0.0004654,0.0004654,0.0004654
29,8397.16,0.8677,1.24256,0.78532,0.90692,0,0.68065,0.65023,0.69237,0.5084,0.59309,0.55941,0.5476,0.31029,0.87172,1.25777,0.79341,0.91546,0,0.0004456,0.0004456,0.0004456
30,8774.29,0.86461,1.23819,0.77176,0.90946,0,0.58192,0.70042,0.68153,0.50346,0.57026,0.5317,0.55704,0.31471,0.87939,1.2774,0.77551,0.90826,0,0.0004258,0.0004258,0.0004258
31,9001.7,0.8681,1.25459,0.77807,0.91358,0,0.70251,0.60511,0.6927,0.5167,0.66845,0.57843,0.62616,0.32686,0.86164,1.25161,0.74085,0.90188,0,0.000406,0.000406,0.000406
32,9235.85,0.85632,1.2396,0.74778,0.90567,0,0.65784,0.66445,0.71834,0.51479,0.56461,0.57527,0.55239,0.30459,0.86566,1.28196,0.75143,0.91074,0,0.0003862,0.0003862,0.0003862
33,9739.6,0.85468,1.23053,0.76149,0.9051,0,0.69609,0.65679,0.67814,0.48707,0.5932,0.56065,0.55324,0.31333,0.86444,1.24525,0.76927,0.9113,0,0.0003664,0.0003664,0.0003664
34,10001.9,0.84004,1.22061,0.74706,0.90629,0,0.69137,0.67883,0.71409,0.52166,0.65436,0.63373,0.63396,0.34819,0.86727,1.24639,0.74776,0.90696,0,0.0003466,0.0003466,0.0003466
35,10291.2,0.84611,1.20864,0.7353,0.89948,0,0.66232,0.69487,0.72699,0.51743,0.58535,0.58428,0.56017,0.31202,0.85396,1.21858,0.73987,0.90074,0,0.0003268,0.0003268,0.0003268
36,10710.3,0.84497,1.21627,0.73455,0.90607,0,0.70573,0.64956,0.72279,0.53574,0.66316,0.60064,0.6469,0.36881,0.86283,1.25447,0.72545,0.91867,0,0.000307,0.000307,0.000307
37,11010.4,0.84681,1.21482,0.7289,0.90536,0,0.63155,0.71942,0.71482,0.51745,0.56902,0.6249,0.57215,0.33019,0.84917,1.25015,0.74853,0.91144,0,0.0002872,0.0002872,0.0002872
38,11239.4,0.82314,1.19742,0.70449,0.89824,0,0.74075,0.64913,0.71835,0.52616,0.68202,0.53174,0.5834,0.34392,0.83764,1.2552,0.73156,0.89473,0,0.0002674,0.0002674,0.0002674
39,11542.3,0.82956,1.20365,0.7179,0.90069,0,0.80172,0.60524,0.72137,0.52806,0.78515,0.55093,0.64779,0.35706,0.83345,1.22703,0.73218,0.89815,0,0.0002476,0.0002476,0.0002476
40,11797.9,0.79294,1.15912,0.68212,0.8854,0,0.72023,0.69759,0.74635,0.54155,0.66489,0.6468,0.65659,0.33635,0.83537,1.21989,0.7318,0.90082,0,0.0002278,0.0002278,0.0002278
41,12042.4,0.81307,1.1349,0.65268,0.88399,0,0.67468,0.68276,0.7136,0.51499,0.60255,0.56108,0.56847,0.30235,0.83599,1.22357,0.73235,0.90445,0,0.000208,0.000208,0.000208
42,12282.7,0.8075,1.11626,0.6519,0.88881,0,0.61787,0.73828,0.72167,0.5202,0.6068,0.56015,0.57928,0.31168,0.83428,1.23192,0.72947,0.90729,0,0.0001882,0.0001882,0.0001882
43,12502.8,0.80942,1.10526,0.64092,0.89305,0,0.72967,0.68648,0.74759,0.53618,0.65951,0.54214,0.59027,0.32657,0.83342,1.22251,0.71221,0.90548,0,0.0001684,0.0001684,0.0001684
44,13043.4,0.79501,1.10828,0.63979,0.88308,0,0.64375,0.72339,0.73373,0.53626,0.68979,0.50838,0.5892,0.32114,0.83203,1.21689,0.7175,0.90627,0,0.0001486,0.0001486,0.0001486
45,13298.5,0.78989,1.1113,0.63007,0.88182,0,0.66156,0.73934,0.74867,0.54586,0.65124,0.55507,0.62834,0.33794,0.82266,1.22014,0.71157,0.90435,0,0.0001288,0.0001288,0.0001288
46,13660.3,0.79497,1.10292,0.62663,0.88143,0,0.6561,0.73273,0.74586,0.5459,0.57654,0.65092,0.60607,0.32815,0.81595,1.21304,0.70228,0.89969,0,0.000109,0.000109,0.000109
47,13893.5,0.77087,1.08959,0.61099,0.87898,0,0.66723,0.73667,0.74943,0.5589,0.59777,0.66815,0.65389,0.34474,0.81574,1.20919,0.69945,0.90182,0,8.92e-05,8.92e-05,8.92e-05
48,14106.7,0.77211,1.08688,0.60322,0.8734,0,0.6542,0.73481,0.75277,0.55708,0.75852,0.54201,0.65596,0.33615,0.81174,1.21241,0.7002,0.90221,0,6.94e-05,6.94e-05,6.94e-05
49,14328.9,0.76699,1.09473,0.59915,0.87564,0,0.62338,0.75358,0.74385,0.55098,0.54426,0.64918,0.5916,0.32125,0.81187,1.22723,0.69667,0.90626,0,4.96e-05,4.96e-05,4.96e-05
50,14543,0.76569,1.07934,0.59165,0.87995,0,0.69411,0.70463,0.74934,0.55157,0.59797,0.60848,0.60973,0.34143,0.80628,1.22666,0.69769,0.90327,0,2.98e-05,2.98e-05,2.98e-05
